movieTitle,movieYear,movieRank,critic_score,audience_score,score_animelist,scored_by,rating,genre1,genre2,genre3,genre4,theme1,theme2,theme3,theme4,demographics,STUDIO,CGI,MC_AGE,FEMALE_LEAD,SETTING,MC_HAIRCOLOR,MC_EYECOLOR,EYE_FACE_RATIO,NOSE_FACE_RATIO,DETAIL,NOTES:
THE TALE OF THE PRINCESS KAGUYA,2013,1,100%,90%,8.21,114281,r+,Award Winning,Fantasy,NA,NA,Historical,NA,NA,NA,[],GHIBLI,NO,NA,YES,ANCIENT JAPAN,BLACK,BLACK,1,2,1,NA
ONLY YESTERDAY,1991,2,100%,83%,7.44,71941,g,Drama,Romance,NA,NA,,NA,NA,NA,['Josei'],GHIBLI,NO,27,YES,1980 JAPAN,BLACK,BLACK,2,2,1,NA
GRAVE OF THE FIREFLIES,1988,3,100%,95%,8.51,384021,pg_13,Drama,NA,NA,NA,Historical,NA,NA,NA,[],GHIBLI,NO,14,NO,1940 JAPAN,BLACK,BLACK,2,2,1,NA
THE FIRST SLAM DUNK,2022,4,100%,98%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TOEI ANIMATION,HYBRID,17,NO,1990 JAPAN,BROWN,BLACK,1,3,3,NA
YOUR NAME,2016,5,98%,94%,8.84,1825476,pg_13,Award Winning,Drama,Supernatural,NA,Romantic Subtext,NA,NA,NA,[],COMIX WAVE FILM,HYBRID,17,YES,MODERN JAPAN,BLACK,BROWN,2,2,3,NA
JUJUTSU KAISEN 0: THE MOVIE,2021,6,98%,98%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MAPPA,HYBRID,15,NO,MODERN JAPAN,PINK,BROWN,2,2,3,NA
DEMON SLAYER -KIMETSU NO YAIBA- THE MOVIE: MUGEN TRAIN,2020,7,98%,99%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFOTABLE,HYBRID,15,NO,1920 JAPAN,RED,RED,1,1,3,NA
KIKI'S DELIVERY SERVICE,1989,8,98%,88%,8.22,360797,g,Adventure,Award Winning,Comedy,Drama,,NA,NA,NA,[],GHIBLI,NO,13,YES,EUROPE,BROWN,BLACK,2,1,1,NA
IN THIS CORNER OF THE WORLD,2016,9,97%,87%,8.22,74736,pg_13,Award Winning,Drama,NA,NA,Historical,NA,NA,NA,['Seinen'],MAPPA,HYBRID,18,YES,1940 JAPAN,BLACK,BLACK,2,1,1,SEEMS VERY GHIBLI ISH TO ME
SPIRITED AWAY,2001,10,96%,96%,8.78,1246643,pg,Adventure,Award Winning,Supernatural,NA,Mythology,NA,NA,NA,[],GHIBLI,HYBRID,10,YES,FANTASY,BROWN,BROWN,1,1,1,NA
SUZUME,2022,11,96%,98%,8.39,104698,pg_13,Adventure,Fantasy,NA,NA,Mythology,NA,NA,NA,[],COMIX WAVE FILM,HYBRID,17,YES,MODERN JAPAN,BROWN,BROWN,2,2,3,NA
THE BOY AND THE HERON,2023,12,97%,88%,7.22,258,NA,Drama,NA,NA,NA,,NA,NA,NA,[],GHIBLI,HYBRID,11,NO,1940 JAPAN,BROWN,BROWN,2,2,1,NA
BELLE,2021,13,95%,95%,7.51,72260,pg_13,Drama,Fantasy,NA,NA,Music,NA,NA,NA,[],CHIZU,HYBRID,17,YES,MODERN JAPAN,BROWN,BROWN,2,2,2,NA
GHOST IN THE SHELL,1995,14,95%,89%,8.27,318376,r+,Action,Award Winning,Mystery,Sci-Fi,Adult Cast,Detective,Mecha,Psychological,['Seinen'],PRODUCTION I.G.,NO,31,YES,FUTURE,PURPLE,RED,1,2,1,NA
THE SECRET WORLD OF ARRIETTY,2010,15,94%,85%,7.89,209848,g,Award Winning,Fantasy,NA,NA,,NA,NA,NA,[],GHIBLI,HYBRID,14,YES,MODERN JAPAN,RED,BROWN,2,2,1,NA
THE RED TURTLE,2016,16,92%,81%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GHIBLI,HYBRID,NA,NO,NA,BROWN,BLACK,1,1,1,NA
PRINCESS MONONOKE,1997,17,93%,94%,8.67,776491,pg_13,Action,Adventure,Award Winning,Fantasy,,NA,NA,NA,[],GHIBLI,HYBRID,17,YES,ANCIENT JAPAN,BROWN,BLUE,2,2,1,NA
MILLENNIUM ACTRESS,2001,18,93%,90%,8.25,80426,pg_13,Action,Adventure,Award Winning,Drama,Historical,Showbiz,NA,NA,[],MADHOUSE,NO,NA,YES,JAPAN,BLACK,BROWN,2,2,1,SEEMS VERY GHIBLI ISH TO ME
MISS HOKUSAI,2015,19,93%,70%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRODUCTION I.G.,HYBRID,23,YES,EDO JAPAN,BLACK,BROWN,2,2,1,SEEMS VERY GHIBLI ISH TO ME
MY NEIGHBOR TOTORO,1988,20,93%,94%,8.25,664865,g,Adventure,Award Winning,Supernatural,NA,,NA,NA,NA,[],GHIBLI,NO,10,YES,1950 JAPAN,BROWN,BROWN,2,2,1,NA
WHEN MARNIE WAS THERE,2014,21,92%,88%,8.05,156135,g,Drama,Mystery,NA,NA,Psychological,NA,NA,NA,[],GHIBLI,HYBRID,12,YES,MODERN JAPAN,BROWN,BLUE,2,2,1,NA
WEATHERING WITH YOU,2019,22,92%,96%,8.29,567951,pg_13,Award Winning,Drama,Fantasy,Romance,,NA,NA,NA,[],COMIX WAVE FILM,HYBRID,16,NO,MODERN JAPAN,BLACK,BROWN,2,2,3,NA
TOKYO GODFATHERS,2003,23,92%,91%,8.27,139759,pg_13,Award Winning,Comedy,Drama,NA,Childcare,NA,NA,NA,[],MADHOUSE,HYBRID,NA,NA,MODERN JAPAN,NA,NA,1,3,2,NA
PONYO,2008,24,91%,83%,7.92,365440,g,Adventure,Award Winning,Fantasy,NA,,NA,NA,NA,[],GHIBLI,NO,5,YES,MODERN JAPAN,RED,BROWN,2,2,1,NA
INU-OH,2021,25,91%,88%,7.8,6014,r,Award Winning,Fantasy,NA,NA,Historical,Music,Performing Arts,NA,[],SCIENCE SARU,YES,NA,NO,ANCIENT JAPAN,NA,NA,1,2,2,NA
AKIRA,1988,26,91%,90%,8.16,491351,r+,Action,Adventure,Horror,Sci-Fi,Gore,Military,NA,NA,['Seinen'],TMS ENTERTAINMENT,YES,9,NO,FUTURE,BLACK,BLACK,2,2,1,NA
MY HERO ACADEMIA: HEROES RISING,2019,27,90%,98%,7.97,319167,pg_13,Action,NA,NA,NA,Super Power,NA,NA,NA,['Shounen'],BONES,HYBRID,16,NO,MODERN JAPAN,GREEN,GREEN,3,1,2,NA
MARY AND THE WITCH'S FLOWER,2017,28,89%,71%,7.26,50473,g,Adventure,Fantasy,NA,NA,,NA,NA,NA,[],PONOC,HYBRID,11,YES,FANTASY,RED,BLUE,2,1,1,SEEMS VERY GHIBLI ISH TO ME
THE WIND RISES,2013,29,88%,85%,8.11,181072,pg_13,Award Winning,Drama,Romance,NA,Historical,NA,NA,NA,[],GHIBLI,HYBRID,NA,NO,1920 JAPAN,BLACK,BROWN,2,2,1,NA
THE BOY AND THE BEAST,2015,30,88%,88%,8.25,219308,pg_13,Adventure,Fantasy,NA,NA,Anthropomorphic,Isekai,NA,NA,[],CHIZU,HYBRID,NA,NO,FANTASY,BROWN,BROWN,1,1,1,NA
