target_anime,similar_anime,distance,NOTES:
THE TALE OF THE PRINCESS KAGUYA,GRAVE OF THE FIREFLIES,0.2521867460871928,NA
THE TALE OF THE PRINCESS KAGUYA,INU-OH,0.2621119030712797,NA
THE TALE OF THE PRINCESS KAGUYA,ON-GAKU: OUR SOUND,0.31680501492501456,NA
THE TALE OF THE PRINCESS KAGUYA,THE SECRET WORLD OF ARRIETTY,0.32536424429016614,NA
THE TALE OF THE PRINCESS KAGUYA,MILLENNIUM ACTRESS,0.3265377787032363,SEEMS VERY GHIBLI ISH TO ME
THE TALE OF THE PRINCESS KAGUYA,IN THIS CORNER OF THE WORLD,0.33364286208239136,SEEMS VERY GHIBLI ISH TO ME
THE TALE OF THE PRINCESS KAGUYA,THE WIND RISES,0.33427473330720997,NA
THE TALE OF THE PRINCESS KAGUYA,ONLY YESTERDAY,0.34039468918396665,NA
THE TALE OF THE PRINCESS KAGUYA,THE RED TURTLE,0.3491100929185041,NA
THE TALE OF THE PRINCESS KAGUYA,KIKI'S DELIVERY SERVICE,0.36124669365241896,NA
ONLY YESTERDAY,GRAVE OF THE FIREFLIES,0.2479226905243934,NA
ONLY YESTERDAY,WHISPER OF THE HEART,0.27395055285291087,NA
ONLY YESTERDAY,KIKI'S DELIVERY SERVICE,0.3182312505460408,NA
ONLY YESTERDAY,THE TALE OF THE PRINCESS KAGUYA,0.34039468918396665,NA
ONLY YESTERDAY,THE CASTLE OF CAGLIOSTRO,0.36574069595642217,SEEMS VERY GHIBLISH TO ME
ONLY YESTERDAY,PONYO,0.3725788441094785,NA
ONLY YESTERDAY,FROM UP ON POPPY HILL,0.37334046001226373,NA
ONLY YESTERDAY,WHEN MARNIE WAS THERE,0.3751285805918264,NA
ONLY YESTERDAY,MY NEIGHBOR TOTORO,0.37588133463878004,NA
ONLY YESTERDAY,MISS HOKUSAI,0.37780681829589147,SEEMS VERY GHIBLI ISH TO ME
GRAVE OF THE FIREFLIES,ONLY YESTERDAY,0.2479226905243934,NA
GRAVE OF THE FIREFLIES,THE TALE OF THE PRINCESS KAGUYA,0.2521867460871928,NA
GRAVE OF THE FIREFLIES,THE BOY AND THE HERON,0.2687508847339839,NA
GRAVE OF THE FIREFLIES,KIKI'S DELIVERY SERVICE,0.2944078956779039,NA
GRAVE OF THE FIREFLIES,THE WIND RISES,0.2999903403773023,NA
GRAVE OF THE FIREFLIES,THE CASTLE OF CAGLIOSTRO,0.3004464751513448,SEEMS VERY GHIBLISH TO ME
GRAVE OF THE FIREFLIES,CASTLE IN THE SKY,0.3036471107492554,NA
GRAVE OF THE FIREFLIES,PORCO ROSSO,0.3085165176843219,NA
GRAVE OF THE FIREFLIES,MILLENNIUM ACTRESS,0.3181539366089555,SEEMS VERY GHIBLI ISH TO ME
GRAVE OF THE FIREFLIES,ON-GAKU: OUR SOUND,0.3227588788644308,NA
KIKI'S DELIVERY SERVICE,MY NEIGHBOR TOTORO,0.1977619848502278,NA
KIKI'S DELIVERY SERVICE,NAUSICAÄ OF THE VALLEY OF THE WIND,0.23327532062623849,NA
KIKI'S DELIVERY SERVICE,THE CAT RETURNS,0.26177986532328956,NA
KIKI'S DELIVERY SERVICE,PONYO,0.2678578777963124,NA
KIKI'S DELIVERY SERVICE,CASTLE IN THE SKY,0.27538172753608925,NA
KIKI'S DELIVERY SERVICE,SPIRITED AWAY,0.2901840214480388,NA
KIKI'S DELIVERY SERVICE,GRAVE OF THE FIREFLIES,0.2944078956779039,NA
KIKI'S DELIVERY SERVICE,THE RED TURTLE,0.2962557821202681,NA
KIKI'S DELIVERY SERVICE,ONLY YESTERDAY,0.3182312505460408,NA
KIKI'S DELIVERY SERVICE,HOWL'S MOVING CASTLE,0.3195674038152476,NA
SPIRITED AWAY,HOWL'S MOVING CASTLE,0.1570253202484629,NA
SPIRITED AWAY,MY NEIGHBOR TOTORO,0.20824920008852588,NA
SPIRITED AWAY,THE RED TURTLE,0.24062167064503512,NA
SPIRITED AWAY,CASTLE IN THE SKY,0.24495940815788633,NA
SPIRITED AWAY,MIND GAME,0.26399742072744675,NA
SPIRITED AWAY,THE CAT RETURNS,0.27894774687105517,NA
SPIRITED AWAY,NAUSICAÄ OF THE VALLEY OF THE WIND,0.28165928035823007,NA
SPIRITED AWAY,KIKI'S DELIVERY SERVICE,0.2901840214480388,NA
SPIRITED AWAY,THE BOY AND THE BEAST,0.30215096946399395,NA
SPIRITED AWAY,THE WONDERLAND,0.30285141503353663,NA
THE BOY AND THE HERON,THE RED TURTLE,0.21081728499952793,NA
THE BOY AND THE HERON,WHEN MARNIE WAS THERE,0.2133577208929761,NA
THE BOY AND THE HERON,BELLE,0.22176554040034555,NA
THE BOY AND THE HERON,"GOODBYE, DON GLEES!",0.2237141446420559,NA
THE BOY AND THE HERON,WINGS OF HONNEAMISE,0.23473463739081052,NA
THE BOY AND THE HERON,THE WIND RISES,0.24510203899279304,NA
THE BOY AND THE HERON,WORDS BUBBLE UP LIKE SODA POP,0.2646344537648118,NA
THE BOY AND THE HERON,PORCO ROSSO,0.2672696195383688,NA
THE BOY AND THE HERON,GRAVE OF THE FIREFLIES,0.2687508847339839,NA
THE BOY AND THE HERON,BLUE GIANT,0.2700352349498579,NA
THE SECRET WORLD OF ARRIETTY,PONYO,0.17338046029942195,NA
THE SECRET WORLD OF ARRIETTY,WOLF CHILDREN,0.21687114457924023,NA
THE SECRET WORLD OF ARRIETTY,WHEN MARNIE WAS THERE,0.21956524811141706,NA
THE SECRET WORLD OF ARRIETTY,FROM UP ON POPPY HILL,0.2304687179880262,NA
THE SECRET WORLD OF ARRIETTY,A LETTER TO MOMO,0.2312955053708312,NA
THE SECRET WORLD OF ARRIETTY,THE GIRL WHO LEAPT THROUGH TIME,0.24673655362473737,NA
THE SECRET WORLD OF ARRIETTY,BELLE,0.24730704909745996,NA
THE SECRET WORLD OF ARRIETTY,MISS HOKUSAI,0.2597308981277079,SEEMS VERY GHIBLI ISH TO ME
THE SECRET WORLD OF ARRIETTY,POMPO THE CINEPHILE,0.26725249371760507,NA
THE SECRET WORLD OF ARRIETTY,HOWL'S MOVING CASTLE,0.26928792913735905,NA
THE RED TURTLE,THE BOY AND THE BEAST,0.2044640328518833,NA
THE RED TURTLE,THE ANIMATRIX,0.20739531496540847,NA
THE RED TURTLE,THE BOY AND THE HERON,0.21081728499952793,NA
THE RED TURTLE,SPIRITED AWAY,0.24062167064503512,NA
THE RED TURTLE,POM POKO,0.24345052662809674,NA
THE RED TURTLE,MIND GAME,0.25723253900823995,NA
THE RED TURTLE,WHEN MARNIE WAS THERE,0.2715708486736524,NA
THE RED TURTLE,EVANGELION:3.0+1.01 THRICE UPON A TIME,0.27976342193631915,NA
THE RED TURTLE,THE WIND RISES,0.28485404782133755,NA
THE RED TURTLE,FROM UP ON POPPY HILL,0.2850259942549662,NA
PRINCESS MONONOKE,WHEN MARNIE WAS THERE,0.24375479352195625,NA
PRINCESS MONONOKE,HOWL'S MOVING CASTLE,0.2840756940841797,NA
PRINCESS MONONOKE,THE END OF EVANGELION,0.30562521122566094,NA
PRINCESS MONONOKE,THE RED TURTLE,0.31533509325565395,NA
PRINCESS MONONOKE,MILLENNIUM ACTRESS,0.32014954621129993,SEEMS VERY GHIBLI ISH TO ME
PRINCESS MONONOKE,SING A BIT OF HARMONY,0.3205091469299885,NA
PRINCESS MONONOKE,EVANGELION:3.0+1.01 THRICE UPON A TIME,0.3259709536007758,NA
PRINCESS MONONOKE,THE BOY AND THE HERON,0.32819084211328753,NA
PRINCESS MONONOKE,PORCO ROSSO,0.3292836276571767,NA
PRINCESS MONONOKE,NAUSICAÄ OF THE VALLEY OF THE WIND,0.3299549233507637,NA
MY NEIGHBOR TOTORO,HOWL'S MOVING CASTLE,0.19208155666148088,NA
MY NEIGHBOR TOTORO,PONYO,0.19772094903245524,NA
MY NEIGHBOR TOTORO,KIKI'S DELIVERY SERVICE,0.1977619848502278,NA
MY NEIGHBOR TOTORO,THE CAT RETURNS,0.20735839620063148,NA
MY NEIGHBOR TOTORO,SPIRITED AWAY,0.20824920008852588,NA
MY NEIGHBOR TOTORO,CASTLE IN THE SKY,0.22116903224943898,NA
MY NEIGHBOR TOTORO,NAUSICAÄ OF THE VALLEY OF THE WIND,0.2516634954569173,NA
MY NEIGHBOR TOTORO,WHISPER OF THE HEART,0.252143186203881,NA
MY NEIGHBOR TOTORO,PORCO ROSSO,0.3044286785945763,NA
MY NEIGHBOR TOTORO,WHEN MARNIE WAS THERE,0.30729339409226647,NA
WHEN MARNIE WAS THERE,THE BOY AND THE HERON,0.2133577208929761,NA
WHEN MARNIE WAS THERE,THE SECRET WORLD OF ARRIETTY,0.21956524811141706,NA
WHEN MARNIE WAS THERE,PRINCESS MONONOKE,0.24375479352195625,NA
WHEN MARNIE WAS THERE,SING A BIT OF HARMONY,0.2506146008110869,NA
WHEN MARNIE WAS THERE,WHISPER OF THE HEART,0.25410905360079733,NA
WHEN MARNIE WAS THERE,HOWL'S MOVING CASTLE,0.26386126391175224,NA
WHEN MARNIE WAS THERE,THE RED TURTLE,0.2715708486736524,NA
WHEN MARNIE WAS THERE,PONYO,0.2775210057835163,NA
WHEN MARNIE WAS THERE,A LETTER TO MOMO,0.2812662091124392,NA
WHEN MARNIE WAS THERE,RIDE YOUR WAVE,0.2823638881513752,NA
PONYO,THE SECRET WORLD OF ARRIETTY,0.17338046029942195,NA
PONYO,MY NEIGHBOR TOTORO,0.19772094903245524,NA
PONYO,THE CAT RETURNS,0.21811318195970056,NA
PONYO,HOWL'S MOVING CASTLE,0.24775529315273162,NA
PONYO,CASTLE IN THE SKY,0.25004831836297353,NA
PONYO,WHISPER OF THE HEART,0.26313109716580163,NA
PONYO,KIKI'S DELIVERY SERVICE,0.2678578777963124,NA
PONYO,NAUSICAÄ OF THE VALLEY OF THE WIND,0.2741935752212455,NA
PONYO,WHEN MARNIE WAS THERE,0.2775210057835163,NA
PONYO,PAPRIKA,0.298305945207523,NA
THE WIND RISES,BLUE GIANT,0.2420486056000075,NA
THE WIND RISES,WEATHERING WITH YOU,0.24358366393534975,NA
THE WIND RISES,THE BOY AND THE HERON,0.24510203899279304,NA
THE WIND RISES,THE SECRET WORLD OF ARRIETTY,0.2714793799136637,NA
THE WIND RISES,FORTUNE FAVORS LADY NIKUKO,0.28012478042197075,NA
THE WIND RISES,MISS HOKUSAI,0.28174784716840795,SEEMS VERY GHIBLI ISH TO ME
THE WIND RISES,SUMMER WARS,0.2830589262588195,NA
THE WIND RISES,THE RED TURTLE,0.28485404782133755,NA
THE WIND RISES,PENGUIN HIGHWAY,0.2928397148023316,SEEMS VERY GHIBLISH TO ME
THE WIND RISES,"GOODBYE, DON GLEES!",0.2950675993631016,NA
HOWL'S MOVING CASTLE,THE CAT RETURNS,0.1371794134136453,NA
HOWL'S MOVING CASTLE,SPIRITED AWAY,0.1570253202484629,NA
HOWL'S MOVING CASTLE,MY NEIGHBOR TOTORO,0.19208155666148088,NA
HOWL'S MOVING CASTLE,PONYO,0.24775529315273162,NA
HOWL'S MOVING CASTLE,THE WONDERLAND,0.2578949240215499,NA
HOWL'S MOVING CASTLE,FROM UP ON POPPY HILL,0.26269811293945317,NA
